Abbreviation,FullName,TeamName,TeamColor,GridPosition,Position,Status,Time,Points,HeadshotUrl,Year,Circuit,Session
LEC,Charles Leclerc,Ferrari,dc0000,1.0,1.0,Finished,0 days 01:15:26.665000,25.0,https://www.formula1.com/content/dam/fom-website/drivers/C/CHALEC01_Charles_Leclerc/chalec01.png,2019,Italian Grand Prix,R
BOT,Valtteri Bottas,Mercedes,00d2be,3.0,2.0,Finished,0 days 00:00:00.835000,18.0,https://www.formula1.com/content/dam/fom-website/drivers/V/VALBOT01_Valtteri_Bottas/valbot01.png,2019,Italian Grand Prix,R
HAM,Lewis Hamilton,Mercedes,00d2be,2.0,3.0,Finished,0 days 00:00:35.199000,16.0,https://www.formula1.com/content/dam/fom-website/drivers/L/LEWHAM01_Lewis_Hamilton/lewham01.png,2019,Italian Grand Prix,R
RIC,Daniel Ricciardo,Renault,fff500,5.0,4.0,Finished,0 days 00:00:45.515000,12.0,https://www.formula1.com/content/dam/fom-website/drivers/D/DANRIC01_Daniel_Ricciardo/danric01.png,2019,Italian Grand Prix,R
HUL,Nico Hulkenberg,Renault,fff500,6.0,5.0,Finished,0 days 00:00:58.165000,10.0,https://www.formula1.com/content/dam/fom-website/drivers/N/NICHUL01_Nico_Hulkenberg/nichul01.png,2019,Italian Grand Prix,R
ALB,Alexander Albon,Red Bull Racing,1e41ff,8.0,6.0,Finished,0 days 00:00:59.315000,8.0,https://www.formula1.com/content/dam/fom-website/drivers/A/ALEALB01_Alexander_Albon/alealb01.png,2019,Italian Grand Prix,R
PER,Sergio Perez,Racing Point,f596c8,18.0,7.0,Finished,0 days 00:01:13.802000,6.0,https://www.formula1.com/content/dam/fom-website/drivers/S/SERPER01_Sergio_Perez/serper01.png,2019,Italian Grand Prix,R
VER,Max Verstappen,Red Bull Racing,1e41ff,19.0,8.0,Finished,0 days 00:01:14.492000,4.0,https://www.formula1.com/content/dam/fom-website/drivers/M/MAXVER01_Max_Verstappen/maxver01.png,2019,Italian Grand Prix,R
GIO,Antonio Giovinazzi,Alfa Romeo Racing,9b0000,10.0,9.0,+1 Lap,,2.0,https://www.formula1.com/content/dam/fom-website/drivers/A/ANTGIO01_Antonio_Giovinazzi/antgio01.png,2019,Italian Grand Prix,R
NOR,Lando Norris,McLaren,ff8700,16.0,10.0,+1 Lap,,1.0,https://www.formula1.com/content/dam/fom-website/drivers/L/LANNOR01_Lando_Norris/lannor01.png,2019,Italian Grand Prix,R
GAS,Pierre Gasly,Toro Rosso,469bff,17.0,11.0,+1 Lap,,0.0,https://www.formula1.com/content/dam/fom-website/drivers/P/PIEGAS01_Pierre_Gasly/piegas01.png,2019,Italian Grand Prix,R
STR,Lance Stroll,Racing Point,f596c8,9.0,12.0,+1 Lap,,0.0,https://www.formula1.com/content/dam/fom-website/drivers/L/LANSTR01_Lance_Stroll/lanstr01.png,2019,Italian Grand Prix,R
VET,Sebastian Vettel,Ferrari,dc0000,4.0,13.0,+1 Lap,,0.0,https://www.formula1.com/content/dam/fom-website/drivers/S/SEBVET01_Sebastian_Vettel/sebvet01.png,2019,Italian Grand Prix,R
RUS,George Russell,Williams,ffffff,14.0,14.0,+1 Lap,,0.0,https://www.formula1.com/content/dam/fom-website/drivers/G/GEORUS01_George_Russell/georus01.png,2019,Italian Grand Prix,R
RAI,Kimi Räikkönen,Alfa Romeo Racing,9b0000,0.0,15.0,+1 Lap,,0.0,https://www.formula1.com/content/dam/fom-website/drivers/K/KIMRAI01_Kimi_R%C3%A4ikk%C3%B6nen/kimrai01.png,2019,Italian Grand Prix,R
GRO,Romain Grosjean,Haas F1 Team,bd9e57,13.0,16.0,+1 Lap,,0.0,https://www.formula1.com/content/dam/fom-website/drivers/R/ROMGRO01_Romain_Grosjean/romgro01.png,2019,Italian Grand Prix,R
KUB,Robert Kubica,Williams,ffffff,15.0,17.0,+2 Laps,,0.0,https://www.formula1.com/content/dam/fom-website/drivers/R/ROBKUB01_Robert_Kubica/robkub01.png,2019,Italian Grand Prix,R
MAG,Kevin Magnussen,Haas F1 Team,bd9e57,11.0,18.0,Hydraulics,,0.0,https://www.formula1.com/content/dam/fom-website/drivers/K/KEVMAG01_Kevin_Magnussen/kevmag01.png,2019,Italian Grand Prix,R
KVY,Daniil Kvyat,Toro Rosso,469bff,12.0,19.0,Engine,,0.0,https://www.formula1.com/content/dam/fom-website/drivers/D/DANKVY01_Daniil_Kvyat/dankvy01.png,2019,Italian Grand Prix,R
SAI,Carlos Sainz,McLaren,ff8700,7.0,20.0,Wheel,,0.0,https://www.formula1.com/content/dam/fom-website/drivers/C/CARSAI01_Carlos_Sainz/carsai01.png,2019,Italian Grand Prix,R
