Abbreviation,FullName,TeamName,TeamColor,GridPosition,Position,Status,Time,Points,HeadshotUrl,Year,Circuit,Session
HAM,Lewis Hamilton,Mercedes,00D2BE,1.0,1.0,Finished,0 days 01:28:01.283000,25.0,https://www.formula1.com/content/dam/fom-website/drivers/L/LEWHAM01_Lewis_Hamilton/lewham01.png.transform/1col/image.png,2020,British Grand Prix,R
VER,Max Verstappen,Red Bull Racing,1E41FF,3.0,2.0,Finished,0 days 00:00:05.856000,19.0,https://www.formula1.com/content/dam/fom-website/drivers/M/MAXVER01_Max_Verstappen/maxver01.png.transform/1col/image.png,2020,British Grand Prix,R
LEC,Charles Leclerc,Ferrari,DC0000,4.0,3.0,Finished,0 days 00:00:18.474000,15.0,https://www.formula1.com/content/dam/fom-website/drivers/C/CHALEC01_Charles_Leclerc/chalec01.png.transform/1col/image.png,2020,British Grand Prix,R
RIC,Daniel Ricciardo,Renault,FFF500,8.0,4.0,Finished,0 days 00:00:19.650000,12.0,https://www.formula1.com/content/dam/fom-website/drivers/D/DANRIC01_Daniel_Ricciardo/danric01.png.transform/1col/image.png,2020,British Grand Prix,R
NOR,Lando Norris,McLaren,FF8700,5.0,5.0,Finished,0 days 00:00:22.277000,10.0,https://www.formula1.com/content/dam/fom-website/drivers/L/LANNOR01_Lando_Norris/lannor01.png.transform/1col/image.png,2020,British Grand Prix,R
OCO,Esteban Ocon,Renault,FFF500,9.0,6.0,Finished,0 days 00:00:26.937000,8.0,https://www.formula1.com/content/dam/fom-website/drivers/E/ESTOCO01_Esteban_Ocon/estoco01.png.transform/1col/image.png,2020,British Grand Prix,R
GAS,Pierre Gasly,AlphaTauri,ffffff,11.0,7.0,Finished,0 days 00:00:31.188000,6.0,https://www.formula1.com/content/dam/fom-website/drivers/P/PIEGAS01_Pierre_Gasly/piegas01.png.transform/1col/image.png,2020,British Grand Prix,R
ALB,Alexander Albon,Red Bull Racing,1E41FF,12.0,8.0,Finished,0 days 00:00:32.670000,4.0,https://www.formula1.com/content/dam/fom-website/drivers/A/ALEALB01_Alexander_Albon/alealb01.png.transform/1col/image.png,2020,British Grand Prix,R
STR,Lance Stroll,Racing Point,F596C8,6.0,9.0,Finished,0 days 00:00:37.311000,2.0,https://www.formula1.com/content/dam/fom-website/drivers/L/LANSTR01_Lance_Stroll/lanstr01.png.transform/1col/image.png,2020,British Grand Prix,R
VET,Sebastian Vettel,Ferrari,DC0000,10.0,10.0,Finished,0 days 00:00:41.857000,1.0,https://www.formula1.com/content/dam/fom-website/drivers/S/SEBVET01_Sebastian_Vettel/sebvet01.png.transform/1col/image.png,2020,British Grand Prix,R
BOT,Valtteri Bottas,Mercedes,00D2BE,2.0,11.0,Finished,0 days 00:00:42.167000,0.0,https://www.formula1.com/content/dam/fom-website/drivers/V/VALBOT01_Valtteri_Bottas/valbot01.png.transform/1col/image.png,2020,British Grand Prix,R
RUS,George Russell,Williams,0082fa,20.0,12.0,Finished,0 days 00:00:52.004000,0.0,https://www.formula1.com/content/dam/fom-website/drivers/G/GEORUS01_George_Russell/georus01.png.transform/1col/image.png,2020,British Grand Prix,R
SAI,Carlos Sainz,McLaren,FF8700,7.0,13.0,Finished,0 days 00:00:53.370000,0.0,https://www.formula1.com/content/dam/fom-website/drivers/C/CARSAI01_Carlos_Sainz/carsai01.png.transform/1col/image.png,2020,British Grand Prix,R
GIO,Antonio Giovinazzi,Alfa Romeo Racing,9B0000,15.0,14.0,Finished,0 days 00:00:54.205000,0.0,https://www.formula1.com/content/dam/fom-website/drivers/A/ANTGIO01_Antonio_Giovinazzi/antgio01.png.transform/1col/image.png,2020,British Grand Prix,R
LAT,Nicholas Latifi,Williams,0082fa,18.0,15.0,Finished,0 days 00:00:54.549000,0.0,https://www.formula1.com/content/dam/fom-website/drivers/N/NICLAF01_Nicholas_Latifi/niclaf01.png.transform/1col/image.png,2020,British Grand Prix,R
GRO,Romain Grosjean,Haas F1 Team,787878,17.0,16.0,Finished,0 days 00:00:55.050000,0.0,https://www.formula1.com/content/dam/fom-website/drivers/R/ROMGRO01_Romain_Grosjean/romgro01.png.transform/1col/image.png,2020,British Grand Prix,R
RAI,Kimi Räikkönen,Alfa Romeo Racing,9B0000,16.0,17.0,+1 Lap,,0.0,https://www.formula1.com/content/dam/fom-website/drivers/K/KIMRAI01_Kimi_R%C3%A4ikk%C3%B6nen/kimrai01.png.transform/1col/image.png,2020,British Grand Prix,R
KVY,Daniil Kvyat,AlphaTauri,ffffff,19.0,18.0,Accident,,0.0,https://www.formula1.com/content/dam/fom-website/drivers/D/DANKVY01_Daniil_Kvyat/dankvy01.png.transform/1col/image.png,2020,British Grand Prix,R
MAG,Kevin Magnussen,Haas F1 Team,787878,14.0,19.0,Collision,,0.0,https://www.formula1.com/content/dam/fom-website/drivers/K/KEVMAG01_Kevin_Magnussen/kevmag01.png.transform/1col/image.png,2020,British Grand Prix,R
HUL,Nico Hulkenberg,Racing Point,F596C8,13.0,20.0,Power Unit,,0.0,None,2020,British Grand Prix,R
