Abbreviation,FullName,TeamName,TeamColor,GridPosition,Position,Status,Time,Points,HeadshotUrl,Year,Circuit,Session
HAM,Lewis Hamilton,Mercedes,00D2BE,1.0,1.0,Finished,0 days 01:31:45.279000,25.0,https://www.formula1.com/content/dam/fom-website/drivers/L/LEWHAM01_Lewis_Hamilton/lewham01.png.transform/1col/image.png,2020,Spanish Grand Prix,R
VER,Max Verstappen,Red Bull Racing,1E41FF,3.0,2.0,Finished,0 days 00:00:24.177000,18.0,https://www.formula1.com/content/dam/fom-website/drivers/M/MAXVER01_Max_Verstappen/maxver01.png.transform/1col/image.png,2020,Spanish Grand Prix,R
BOT,Valtteri Bottas,Mercedes,00D2BE,2.0,3.0,Finished,0 days 00:00:44.752000,16.0,https://www.formula1.com/content/dam/fom-website/drivers/V/VALBOT01_Valtteri_Bottas/valbot01.png.transform/1col/image.png,2020,Spanish Grand Prix,R
STR,Lance Stroll,Racing Point,F596C8,5.0,4.0,+1 Lap,,12.0,https://www.formula1.com/content/dam/fom-website/drivers/L/LANSTR01_Lance_Stroll/lanstr01.png.transform/1col/image.png,2020,Spanish Grand Prix,R
PER,Sergio Perez,Racing Point,F596C8,4.0,5.0,+1 Lap,,10.0,https://www.formula1.com/content/dam/fom-website/drivers/S/SERPER01_Sergio_Perez/serper01.png.transform/1col/image.png,2020,Spanish Grand Prix,R
SAI,Carlos Sainz,McLaren,FF8700,7.0,6.0,+1 Lap,,8.0,https://www.formula1.com/content/dam/fom-website/drivers/C/CARSAI01_Carlos_Sainz/carsai01.png.transform/1col/image.png,2020,Spanish Grand Prix,R
VET,Sebastian Vettel,Ferrari,DC0000,11.0,7.0,+1 Lap,,6.0,https://www.formula1.com/content/dam/fom-website/drivers/S/SEBVET01_Sebastian_Vettel/sebvet01.png.transform/1col/image.png,2020,Spanish Grand Prix,R
ALB,Alexander Albon,Red Bull Racing,1E41FF,6.0,8.0,+1 Lap,,4.0,https://www.formula1.com/content/dam/fom-website/drivers/A/ALEALB01_Alexander_Albon/alealb01.png.transform/1col/image.png,2020,Spanish Grand Prix,R
GAS,Pierre Gasly,AlphaTauri,ffffff,10.0,9.0,+1 Lap,,2.0,https://www.formula1.com/content/dam/fom-website/drivers/P/PIEGAS01_Pierre_Gasly/piegas01.png.transform/1col/image.png,2020,Spanish Grand Prix,R
NOR,Lando Norris,McLaren,FF8700,8.0,10.0,+1 Lap,,1.0,https://www.formula1.com/content/dam/fom-website/drivers/L/LANNOR01_Lando_Norris/lannor01.png.transform/1col/image.png,2020,Spanish Grand Prix,R
RIC,Daniel Ricciardo,Renault,FFF500,13.0,11.0,+1 Lap,,0.0,https://www.formula1.com/content/dam/fom-website/drivers/D/DANRIC01_Daniel_Ricciardo/danric01.png.transform/1col/image.png,2020,Spanish Grand Prix,R
KVY,Daniil Kvyat,AlphaTauri,ffffff,12.0,12.0,+1 Lap,,0.0,https://www.formula1.com/content/dam/fom-website/drivers/D/DANKVY01_Daniil_Kvyat/dankvy01.png.transform/1col/image.png,2020,Spanish Grand Prix,R
OCO,Esteban Ocon,Renault,FFF500,15.0,13.0,+1 Lap,,0.0,https://www.formula1.com/content/dam/fom-website/drivers/E/ESTOCO01_Esteban_Ocon/estoco01.png.transform/1col/image.png,2020,Spanish Grand Prix,R
RAI,Kimi Räikkönen,Alfa Romeo Racing,9B0000,14.0,14.0,+1 Lap,,0.0,https://www.formula1.com/content/dam/fom-website/drivers/K/KIMRAI01_Kimi_R%C3%A4ikk%C3%B6nen/kimrai01.png.transform/1col/image.png,2020,Spanish Grand Prix,R
MAG,Kevin Magnussen,Haas F1 Team,787878,16.0,15.0,+1 Lap,,0.0,https://www.formula1.com/content/dam/fom-website/drivers/K/KEVMAG01_Kevin_Magnussen/kevmag01.png.transform/1col/image.png,2020,Spanish Grand Prix,R
GIO,Antonio Giovinazzi,Alfa Romeo Racing,9B0000,20.0,16.0,+1 Lap,,0.0,https://www.formula1.com/content/dam/fom-website/drivers/A/ANTGIO01_Antonio_Giovinazzi/antgio01.png.transform/1col/image.png,2020,Spanish Grand Prix,R
RUS,George Russell,Williams,0082fa,18.0,17.0,+1 Lap,,0.0,https://www.formula1.com/content/dam/fom-website/drivers/G/GEORUS01_George_Russell/georus01.png.transform/1col/image.png,2020,Spanish Grand Prix,R
LAT,Nicholas Latifi,Williams,0082fa,19.0,18.0,+2 Laps,,0.0,https://www.formula1.com/content/dam/fom-website/drivers/N/NICLAF01_Nicholas_Latifi/niclaf01.png.transform/1col/image.png,2020,Spanish Grand Prix,R
GRO,Romain Grosjean,Haas F1 Team,787878,17.0,19.0,+2 Laps,,0.0,https://www.formula1.com/content/dam/fom-website/drivers/R/ROMGRO01_Romain_Grosjean/romgro01.png.transform/1col/image.png,2020,Spanish Grand Prix,R
LEC,Charles Leclerc,Ferrari,DC0000,9.0,20.0,Electronics,,0.0,https://www.formula1.com/content/dam/fom-website/drivers/C/CHALEC01_Charles_Leclerc/chalec01.png.transform/1col/image.png,2020,Spanish Grand Prix,R
